Time RV eRV BIS FWHM S-index C3AP2-1 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8
52945.66121 -5.82522762085082 0.909796559367089 6.986925 7.680300136 0.177153878241995 -1.36278402362532 -5.65657305937847 -6.86315664458598 -5.942020351608 -2.84011926509506 -1.8091108128118 -6.53118449721852 1.1845528910235 -2.20635623353872 0.4941302321965 -4.35749614957089 -1.93974359864283 0.0819584600246106 -7.60293363556018 -0.9405327769589 9.27465414414082
53217.923511 -20.7847719724698 0.663084735052831 10.668957 7.690727934 0.178336540191526 -0.337731206624815 -3.2577324067856 2.2861598392412 1.4228071499337 -2.2551479059604 -2.789121898174 2.4447096380544 2.7364544517309 -2.4364138989225 3.0021485309823 -2.6420118949652 -0.7836480228985 -3.9802886802981 4.1224843614129 0.291128323414299 4.9674138245504
53270.762772 -17.8308913814862 0.519017779556677 7.726323 7.690817124 0.182518437810922 -0.190029554172447 -3.3003897332945 -1.849681897011 0.4822845019035 -2.6164244287015 -1.7263604760628 0.546823393225601 -3.629776700447 -0.590025404705601 -1.2175274116261 -2.4998239204427 -0.0982553402022006 -0.0346304776631001 -1.4451280872606 1.383982538623 -5.7616195850871
53272.755202 -17.6479938165318 0.631718100895685 7.891575 7.686661066 0.180231336575843 -0.113551802655381 -1.4242514998049 -1.6752666059628 -1.933315648223 0.4261891048763 -2.4526477341685 -0.689647778276001 0.512684472294502 -2.7027261215702 -1.0507996429041 2.0795996897325 -5.2773623558864 2.3402396632743 -0.673069711199599 1.0124518252746 -6.2362448368062
53291.706344 -17.8686586891184 0.786315330594148 8.952411 7.689886163 0.179888995056036 -0.0914875367795539 -2.7665979637608 1.9151624085523 -2.5651445599129 -1.2083652526694 -1.5221775457406 2.2357505872237 0.953153244772899 -4.0386504136404 -1.9599578167304 -0.7971764629707 2.0977911399311 -5.4560734397097 3.32360205222 0.1026925135018 7.3687889838455
53307.670604 -25.5043593053223 0.81530829637186 6.646254 7.696924243 0.175915848200189 -0.17379667874823 -0.9481255821159 0.4878481214968 1.3892093042305 -2.1147781054338 1.4523732950737 -0.5681475516392 0.808530281207702 2.8718135779091 -0.138965300774803 -2.0758971530551 1.6698765907745 -0.822080523382301 -1.6501724767513 0.240784175298998 9.6170394087452
53307.676113 -25.5730515059839 0.846199686963355 7.273677 7.697467732 0.17607440157523 0.128601901468169 0.353005229891203 -3.4479335904562 1.980731775168 0.459624479779201 -1.3357708083735 -4.3433897747259 3.5366765191324 6.1283129922193 -2.0171055405543 3.3781670682415 -4.8690123646614 0.751402222902801 -5.9384199886799 8.4012959674462 -4.2631966175276
53308.717868 -25.8336688759819 0.694481574363866 10.597109 7.689131728 0.17749926364145 1.36738694960706 -1.4249827348644 -1.2386741116136 -1.7496294846179 -0.905959821630297 0.0409223802380971 -5.1111866317894 8.9890777198503 -1.0759040446724 -4.1590317427647 1.0232869706523 -0.525829046289999 0.3603640536613 -6.9962092465721 9.2890014184383 3.463051691032
53308.723389 -23.2896975898569 0.704359360366514 11.677006 7.690804513 0.177158536641274 0.243711975642775 0.643535104745101 -3.9615197237749 1.6470718364682 1.7686277289923 -3.2379474026385 -2.2493222603221 -0.268677995257999 -7.7192782790181 3.8634957795015 2.1432632098354 -3.2565383506293 -0.963366434994501 -5.5930165014231 5.4483202562548 3.1933336116978
53321.671383 -21.4587230376009 0.536575393932558 12.713907 7.704650681 0.180729846122838 0.138279927654053 -2.240643499294 -1.737108861152 -2.4442354956465 -0.896490057168201 -1.1346222334556 -2.1916667394168 2.4957059742721 -1.3154154675745 -2.4976223708993 -1.1689097405503 0.7856909958169 -0.1335136481669 -3.410899474334 4.4627644169126 -4.7562734305281
53946.845804 -16.3633362445508 0.712488604571948 8.656923 7.692834269 0.178069496577327 0.955288401368897 -1.048511117397 2.3639900525209 -2.8535273249943 -0.3018336415054 0.248329898385698 4.4986035201901 -5.1839786430292 -1.0450779658587 -2.3928940510961 -1.0914185232557 4.2013845037612 -3.8880810511675 6.4768656224125 -8.8589655840887 9.240254592747
