2451679.96569    -12.77   1.02  1.6646 -1.00000     56543   500
2452004.00301      1.36   1.20  1.4880 -1.00000     84124   500
2452097.96102      0.73   1.19  1.5028 -1.00000     75223   480
2452160.85815      3.52   1.31  1.5793 -1.00000     79609   480
2452161.79815      0.77   1.22  1.5526 -1.00000     81829   429
2452390.06786    -13.19   1.39  1.3339 -1.00000     88673   306
2452486.77205     -6.21   1.19  1.5071 -1.00000     88464   330
2452514.73834      1.45   1.35  1.3842 -1.00000     87999   350
2452713.07968     -3.38   1.36  1.5377 -1.00000     89530   345
2452777.00924      4.76   1.33  1.5956 -1.00000     99047   414
2452804.90764     -7.71   1.09  1.4227 -1.00000     98866   347
2452850.88216      7.84   1.35  1.3105 -1.00000     75779   600
2453179.94197      0.00   1.19  1.5861 -1.00000    101133   424
2453430.06149      2.02   1.00  1.6170 -1.00000     98516   503
2453549.84315      1.43   0.82  1.4445 -1.00000     99544   405
2453604.81434      1.60   1.04  1.6072 -1.00000    103618   449
2453838.07557     -9.19   1.33  1.5133  0.04586     21681   500
2454636.96021     -8.58   1.05  1.4461  0.04474     47771   247
2455403.83616     -9.89   1.07  1.5661  0.04562     48948   408
2455639.15720      5.54   1.05  1.5551  0.04657     78839   425
2455665.05448    -13.61   0.99  1.4170  0.04519     81338   299
2456018.96435     -6.84   1.12  1.6286  0.04569     47361   373
2456025.06897     -3.31   1.43  1.3954  0.04514     29911   600
2456117.92773     -4.52   0.89  1.5391  0.04614     79334   495
2456117.93440     -3.80   0.87  1.5341  0.04595     79271   590
2456330.15308     -0.92   1.05  1.6896  0.04706     80379     0
2456330.15723      1.55   1.08  1.6906  0.04705     80216   318
2456433.97454      0.82   0.90  1.6681 -1.00000     79932   306
2456433.97859      1.22   0.80  1.6613 -1.00000     79808   312
2456845.89193     -0.74   0.97  1.4099  0.04492     49270   360
