Time RV eRV Sindex Halpha PhotonCount ObservationTimes
2454721.92834 3.57 1.38 0.1572 0.03246 54577 4
2454721.9289 2.05 1.29 0.1583 0.03241 55525 3
2454722.97671 3.22 1.37 0.1571 0.03248 54032 2
2454722.97725 0.88 1.56 0.1625 0.03249 63856 2
2454722.97777 0.81 1.44 0.1604 0.03241 58630 2
2454723.97147 1.57 1.41 0.1617 0.03241 77493 2
2454723.97201 0.24 1.49 0.1539 0.03246 67149 2
2454723.97254 4.68 1.34 0.1604 0.03242 64048 2
2454724.97523 2.34 1.48 0.1596 0.03243 57512 2
2454724.97578 0.89 1.27 0.162 0.03242 54946 1
2454724.97631 1.74 1.42 0.1581 0.03238 54455 2
2454779.86118 1.4 1.22 0.162 0.03236 88754 3
2454779.86171 2.33 1.67 0.1664 0.03231 43522 1
2454779.86226 -0.46 1.55 0.1633 0.03232 49286 2
2454805.76828 2.88 1.21 0.1537 0.03239 73929 2
2454805.76881 -0.25 1.4 0.1581 0.03236 52703 2
2454805.76934 -0.58 1.34 0.1501 0.03241 50531 1
2454806.8253 -2.36 1.6 0.1635 0.03245 50502 4
2454806.82584 0.62 1.54 0.1594 0.03238 42420 2
2454806.82641 2.45 1.43 0.1702 0.03236 52733 4
2454807.84508 -1.76 1.39 0.1542 0.03237 62135 2
2454807.84561 0.27 1.5 0.152 0.03232 64418 2
2454807.84616 -1.58 1.32 0.154 0.03236 57381 2
2454808.86333 -2.52 1.51 0.1525 0.03238 60887 2
2454808.86389 -0.8 1.26 0.1549 0.03254 65527 2
2454808.86442 -0.34 1.28 0.1566 0.03234 68795 2
2454809.89819 1.63 1.46 0.158 0.03233 44107 3
2454809.89875 2.77 1.27 0.158 0.0324 62204 3
2454809.89929 -0.38 1.19 0.1684 0.03235 63834 4
2454867.73089 -3.04 1.54 0.1575 0.03235 45066 75
2455074.09526 1.2 1.28 0.1631 0.0325 63982 2
2455074.09745 -0.77 1.18 0.1681 0.03245 74969 3
2455074.098 0.3 1.43 0.1639 0.03246 63594 2
2455075.09859 4.15 1.2 0.1715 0.03274 58693 3
2455075.09913 0.53 1.27 0.1595 0.03247 58557 1
2455075.0998 -4.15 1.31 0.1619 0.03248 62494 2
2455076.09376 -5.69 1.39 0.1477 0.03241 77734 2
2455076.09429 1.74 1.42 0.1612 0.03244 66052 2
2455076.0948 3.65 1.19 0.1611 0.03251 63036 2
2455077.04716 0.44 1.44 0.153 0.03244 51601 1
2455077.04771 1.03 1.43 0.1533 0.03242 52299 2
2455077.04836 1.54 1.19 0.1555 0.03246 80043 3
2455078.07081 0.28 1.49 0.1599 0.03252 47865 1
2455078.07135 0.69 1.41 0.1638 0.03248 56780 2
2455078.07189 1.19 1.42 0.1611 0.03239 61540 2
2455079.07409 -3.25 1.44 0.1561 0.03245 68079 2
2455079.07474 -1.96 1.47 0.1578 0.03244 57092 2
2455079.07529 0.29 1.37 0.1541 0.03252 59734 2
2455080.07113 0.91 1.29 0.163 0.03257 67581 3
2455080.07168 4.3 1.46 0.1626 0.03246 64059 2
2455080.07221 5.14 1.26 0.173 0.03245 79949 3
2455081.08248 -0.04 1.32 0.1816 0.03264 48781 6
2455081.08303 1.17 1.36 0.1658 0.03246 61131 3
2455081.08358 3.71 1.28 0.1533 0.03258 74148 3
2455082.03705 1.29 1.45 0.1625 0.03245 63829 4
2455082.0376 1.69 1.31 0.1584 0.03246 60620 4
2455082.03815 1.03 1.55 0.157 0.0324 49128 3
2455083.04356 -0.55 1.33 0.1594 0.03248 78940 2
2455083.04411 3 1.4 0.1644 0.03248 69021 2
2455083.04465 1.87 1.41 0.165 0.03248 68331 2
2455084.14829 2.87 1.24 0.1631 0.03245 62664 2
2455084.14883 -0.15 1.24 0.1597 0.03245 81427 3
2455084.14951 1.2 1.2 0.1621 0.0325 91053 1
2455085.03169 4.3 1.27 0.1589 0.0325 63786 2
2455085.03222 1.44 1.35 0.1561 0.03246 75003 2
2455085.03277 1.14 1.28 0.1547 0.03248 77534 1
2455109.9525 3.73 1.57 0.1536 0.0324 52862 1
2455109.95306 2.53 1.43 0.154 0.03256 74772 2
2455109.95359 4.01 1.3 0.1478 0.03252 71828 2
2455110.97027 -0.92 1.68 0.1631 0.03245 45834 71
2455133.98994 -5.81 1.38 0.1735 0.03233 76693 3
2455133.99047 -4.42 1.5 0.1617 0.03234 51945 2
2455133.99102 -1.56 1.55 0.1666 0.03246 60429 2
2455134.97274 0.67 1.3 0.1623 0.03246 68465 3
2455134.9734 -0.19 1.38 0.161 0.03246 63871 3
2455134.97395 -1.38 1.36 0.1623 0.03235 60783 2
2455135.91789 -1.15 1.45 0.1671 0.03245 58059 2
2455135.91843 -1.88 1.35 0.1668 0.03238 48828 1
2455135.91896 -0.3 1.36 0.1683 0.03241 72691 3
2455143.91771 5.26 1.19 0.1614 0.0324 97119 4
2455143.9184 2.75 1.18 0.1582 0.03242 94839 4
2455143.91896 2.19 1.24 0.1618 0.03247 90251 4
2455143.91951 0.48 1.36 0.1634 0.03248 85728 4
2455143.92008 2.26 1.24 0.1603 0.03248 97206 4
2455143.92078 3.86 1.26 0.1623 0.03249 81958 3
2455166.93483 -0.99 1.33 0.1616 0.0325 98088 4
2455166.93538 0.27 1.36 0.1567 0.03243 78539 4
2455166.93594 1.11 1.41 0.1634 0.03243 87260 4
2455166.93649 -0.57 1.37 0.1607 0.03243 94257 4
2455166.93705 1.26 1.26 0.1612 0.03249 100107 4
2455166.93762 -0.9 1.36 0.1611 0.03242 88054 4
2455166.93817 -0.68 1.38 0.1607 0.03242 90166 4
2455166.93874 -1.27 1.59 0.1541 0.03246 76385 3
2455166.93928 -1.5 1.3 0.1536 0.03247 90315 5
2455171.89441 -2.9 1.32 0.1654 0.03235 58899 2
2455171.89493 -1.38 1.23 0.1688 0.03238 53677 1
2455171.89546 1.81 1.11 0.167 0.03257 75924 2
2455172.87743 1.54 1.28 0.1593 0.0325 75420 2
2455172.87798 -1.9 1.3 0.1603 0.03246 72956 2
2455172.87865 1.24 1.39 0.1614 0.03252 80716 2
2455187.87852 2.72 1.6 0.1568 0.03239 50040 4
2455187.87909 1.78 1.53 0.1623 0.03238 59442 5
2455187.87966 0.17 1.43 0.1624 0.03244 60257 4
2455188.78086 0.71 1.26 0.1501 0.03239 62965 3
2455188.78139 -0.87 1.31 0.1492 0.0325 64808 3
2455188.78191 -2.19 1.4 0.1497 0.03246 51062 3
2455189.80398 -1.02 1.54 0.1589 0.03251 63673 2
2455189.80463 3.1 1.43 0.1598 0.03253 54685 1
2455189.80516 -0.04 1.31 0.1579 0.03245 58917 1
2455190.85339 1.31 1.29 0.1625 0.03237 66020 4
2455190.85403 0.22 1.43 0.1552 0.03236 61065 3
2455190.85459 -1.76 1.45 0.1579 0.03241 48675 3
2455196.78601 1.06 1.54 0.1715 0.03248 46770 2
2455196.78655 1.96 1.32 0.1641 0.03237 74666 3
2455196.78711 0.82 1.43 0.1628 0.03248 59877 2
2455196.78764 -1.37 1.29 0.1607 0.03253 70580 3
2455197.78904 0.01 1.24 0.1587 0.03243 60597 4
2455197.78959 4.3 1.45 0.1627 0.03245 47731 2
2455197.79027 -1.18 1.56 0.1685 0.03238 46740 2
2455198.79561 -1.09 1.39 0.1621 0.03241 64518 3
2455198.79613 -1.74 1.3 0.158 0.0324 52223 2
2455198.79668 -1.62 1.26 0.1607 0.03244 79227 3
2455200.86647 0.65 1.12 0.1648 0.0324 93344 5
2455200.86701 1.98 1.11 0.1639 0.03236 79307 5
2455200.8676 -1.11 1.07 0.1541 0.03245 99369 5
2455200.86817 0.84 1.24 0.154 0.03245 96746 5
2455200.86876 3.47 1.12 0.1663 0.03231 83527 5
2455200.86931 1.18 1.27 0.1568 0.03247 93980 5
2455200.87015 2.21 1.21 0.1555 0.03242 92706 5
2455231.7025 -2.01 1.39 0.1504 0.03227 67520 4
2455231.70304 -1.57 1.34 0.1535 0.03234 59465 4
2455231.70361 -3.88 1.12 0.1561 0.03233 62244 3
2455427.04898 -1.88 1.26 0.1568 0.03252 77259 2
2455427.04951 -2.33 1.18 0.1586 0.03248 76732 2
2455427.05003 -0.47 1.26 0.1599 0.03246 77852 2
2455433.98776 -0.66 1.04 0.1582 0.03237 66002 2
2455437.12909 -0.31 1.32 0.1584 0.03243 48190 1
2455437.12973 0.71 1.14 0.1625 0.0324 61715 2
2455437.13027 1.48 1.23 0.163 0.03247 63995 3
2455440.04931 -2.21 1.38 0.16 0.03251 55526 5
2455440.04984 1.78 1.41 0.1433 0.0325 55245 2
2455440.05035 -2.28 1.28 0.1611 0.03246 52226 2
2455441.14596 1.25 1.13 0.1489 0.03247 84562 3
2455441.14652 -0.87 1.37 0.1459 0.03243 67337 3
2455441.14706 3.44 1.2 0.1505 0.03236 76719 3
2455455.97465 2.23 1.4 0.1585 0.03242 62870 2
2455455.97518 2.54 1.26 0.1588 0.03242 69398 2
2455455.97574 2.52 1.31 0.1583 0.03251 76262 2
2455470.04091 0.47 1.29 0.1601 0.03233 73899 2
2455470.04146 3.53 1.17 0.1571 0.03243 74863 2
2455470.04211 -1.1 1.38 0.1664 0.03232 56847 2
2455487.00267 0.15 1.32 0.1602 0.03241 67469 2
2455487.00322 1.7 1.38 0.1647 0.03234 67131 2
2455487.00375 1.32 1.61 0.1604 0.0323 42631 1
2455489.95758 -1.14 1.24 0.1585 0.03243 69949 3
2455489.9581 -1.62 1.53 0.1607 0.0325 56460 3
2455489.95865 0.83 1.56 0.1599 0.03246 53090 2
2455490.93247 1.26 1.59 0.1586 0.03247 49674 1
2455490.933 -2.51 1.37 0.1572 0.03242 72322 2
2455490.93352 -0.28 1.31 0.161 0.03242 70367 2
2455500.98732 -3.79 1.24 0.1619 0.03247 60442 2
2455500.98786 0.62 1.33 0.1608 0.03246 60499 2
2455500.98838 -1.16 1.26 0.1611 0.03242 85071 3
2455521.85818 -1.02 1.2 0.1464 0.03234 66911 3
2455521.85873 1.1 1.16 0.1556 0.03237 80689 3
2455521.85927 -1.09 1.27 0.1547 0.03241 67947 3
2455522.90829 -2.78 1.36 0.1596 0.03233 62311 2
2455522.90881 -0.06 1.34 0.1586 0.03228 74145 2
2455522.90935 2.32 1.44 0.1618 0.03241 79076 3
2455542.94956 1.85 1.42 0.1552 0.03234 58917 2
2455542.9501 1.34 1.21 0.1717 0.03234 80251 3
2455542.95066 1.11 1.35 0.1551 0.03239 76703 3
2455613.70597 -2.76 1.3 0.1392 0.0323 52545 2
2455613.70652 -0.5 1.38 0.1534 0.03231 81094 3
2455613.70707 -0.65 1.26 0.1538 0.03241 68681 3
2455789.14552 -3.41 1.41 0.1493 0.03236 62179 2
2455789.14606 -4.5 1.45 0.151 0.03232 68758 2
2455789.14661 -3.22 1.35 0.1496 0.03238 74419 2
2455870.98627 1.61 1.73 0.1583 0.03235 48720 12
2455870.98692 2.07 1.64 0.1611 0.0323 49260 10
2455870.98751 2.22 1.71 0.1566 0.03244 55006 5
2455877.97333 -0.02 1.39 0.1597 0.03233 59359 2
2455877.97389 0.81 1.52 0.1577 0.03237 76695 2
2455877.97442 1.19 1.34 0.1587 0.03237 73203 2
2455902.8629 -0.27 1.37 0.1573 0.03252 47145 51
2455902.86383 0.87 1.46 0.1581 0.03238 45781 27
2455902.86466 -3.95 1.47 0.1568 0.03238 47467 27
2455902.86553 -1.46 1.42 0.1556 0.0324 46921 34
2455902.86641 -0.62 1.49 0.1602 0.03245 47999 26
2455902.86774 2.27 1.45 0.1575 0.03241 47676 35
2455903.84846 1 1.24 0.1639 0.03244 46174 1
2455903.84899 -0.32 1.24 0.1615 0.03259 68605 2
2455903.84951 -0.97 1.3 0.158 0.0325 59860 2
2455960.70119 -2.65 1.29 0.1378 0.03231 55116 3
2455960.70174 -4.07 1.37 0.1424 0.03235 60727 3
2456114.12999 0.19 1.21 0.1585 0.03237 64722 3
2456114.13053 -2.91 1.62 0.1683 0.03239 52828 3
2456114.13111 -3.99 1.35 0.1616 0.03238 67686 4
2456115.13638 -1.3 1.32 0.1607 0.03242 74415 3
2456115.13693 0.66 1.2 0.1549 0.03241 75955 3
2456115.1375 -1.45 1.41 0.174 0.03236 53047 3
2456116.13771 -1.99 1.52 0.153 0.03235 57086 1
2456116.13825 2.78 1.15 0.1511 0.03239 65786 2
2456116.1388 1.93 1.19 0.1537 0.03238 67370 2
2456135.1424 -6.38 1.39 0.1596 0.03251 64947 2
2456135.14294 -0.69 1.18 0.159 0.03249 61119 2
2456135.14346 -3.93 1.21 0.1568 0.03248 66127 2
2456138.14243 0.39 1.16 0.1547 0.03247 61492 1
2456138.14296 -0.98 1.16 0.1619 0.03232 74518 2
2456138.14351 0.97 1.21 0.161 0.03238 73233 2
2456147.14762 1.9 1.23 0.1523 0.03244 58063 2
2456147.14816 1.28 1.26 0.1564 0.03242 86172 3
2456147.14869 -3 1.25 0.15 0.03244 81966 3
2456149.06655 -0.51 1.27 0.166 0.03244 64735 2
2456149.06708 -0.85 1.39 0.1634 0.0325 82474 3
2456149.06764 -3.68 1.41 0.166 0.03247 69293 3
2456149.06822 -5.73 1.45 0.1637 0.03235 50316 6
2456149.06877 -1.33 1.37 0.1607 0.03233 63019 2
2456151.14398 -1.09 1.25 0.163 0.03248 66066 2
2456151.14451 -0.63 1.28 0.1629 0.03257 71917 2
2456151.14505 -2.39 1.21 0.1607 0.03248 87601 2
2456168.1 -1.64 1.28 0.1603 0.03231 66511 3
2456168.10054 -0.45 1.25 0.1667 0.03238 69948 3
2456168.10109 2.09 1.39 0.1628 0.03233 66384 3
2456508.13968 2.24 1.26 0.16 0.03244 78946 2
2456508.14022 1.63 1.18 0.1529 0.03251 77763 2
2456508.14074 1.54 1.1 0.1563 0.03242 65471 2
2456513.12185 -0.57 1.2 0.1595 0.03249 88549 2
2456513.12319 -3.2 1.19 0.1768 0.03222 56433 3
2456513.12375 -1.4 1.29 0.1479 0.0325 67479 2
2456514.13792 0.81 1.48 0.1559 0.0325 68464 2
2456514.13844 -2.03 1.2 0.1552 0.03248 81785 2
2456514.13898 0.45 1.31 0.153 0.03249 68670 2
2456519.12516 -0.23 1.37 0.1619 0.03249 75533 4
2456519.12569 0.84 1.36 0.163 0.03242 56692 3
2456519.12623 -0.45 1.34 0.1564 0.03255 52046 3
2456520.13626 -4.22 1.34 0.1543 0.03251 81451 2
2456520.13679 -3.57 1.41 0.1565 0.03239 64023 4
2456520.1373 2.4 1.27 0.1599 0.03244 55913 2
2456523.14111 0.28 1.39 0.1494 0.03242 57540 2
2456523.14165 -1.16 1.24 0.1512 0.03239 58167 2
2456523.14219 -2.38 1.19 0.1501 0.03242 60297 2
2456530.04457 -3.27 1.53 0.1538 0.03242 47149 17
2456530.04524 1.45 1.39 0.1537 0.03251 51887 10
2456530.04586 0.71 1.54 0.1597 0.03241 49712 12
2456531.11492 -0.35 1.17 0.162 0.03246 52368 2
2456531.11545 -1.43 1.25 0.163 0.03244 60616 2
2456531.11598 -2.7 1.3 0.1637 0.03243 64817 2
2456532.1139 2.54 1.32 0.1561 0.03244 47767 1
2456532.11444 3.38 1.1 0.1578 0.03247 89108 2
2456532.11498 0.75 0.99 0.1543 0.03246 80546 3
2456533.15013 2.03 1.42 0.1591 0.03231 54316 2
2456533.15065 0.2 1.28 0.1537 0.03231 69713 2
2456533.15116 -2.71 1.21 0.1446 0.03231 72769 3
2456534.15215 -1.32 1.45 0.1564 0.03229 63294 2
2456534.15265 0.57 1.18 0.1629 0.03228 64562 2
2456534.15317 0.66 1.11 0.1544 0.03238 60219 2
2456548.12556 1.57 1.23 0.15 0.03254 84877 3
2456548.1261 4.96 1.31 0.1522 0.03261 73188 3
2456548.12665 4.46 1.33 0.1557 0.03253 65630 2
2456549.92612 3.2 1.37 0.1615 0.03242 99511 3
2456549.92663 -2.07 1.46 0.1654 0.03253 100501 3
2456549.92718 4.01 1.54 0.1594 0.03248 91630 3
2456549.92772 0.61 1.18 0.16 0.03247 105571 3
2456549.92824 3.66 1.16 0.1667 0.03246 106844 3
2456550.91599 2.38 1.23 0.1601 0.03248 110403 3
2456550.91652 2.89 1.2 0.1612 0.03245 78744 2
2456550.91706 1.5 1.41 0.1594 0.03247 89318 3
2456550.91762 3.82 1.4 0.1598 0.03252 93067 3
2456550.91817 1.28 1.3 0.1596 0.03248 95729 3
2456550.91872 3.68 1.39 0.1582 0.03246 98844 3
2456551.93454 3.43 1.31 0.157 0.03251 102095 4
2456551.93509 1.92 1.26 0.1674 0.03246 106114 5
2456551.93567 5.05 1.31 0.1561 0.03252 95721 5
2456551.93623 4.06 1.16 0.1606 0.03243 97029 3
2456551.93677 -0.73 1.29 0.1623 0.03242 93523 4
2456551.93734 1.62 1.46 0.1635 0.03232 82677 4
2456584.94916 -0.01 1.47 0.1634 0.03237 47650 0
2456675.73735 0.91 1.34 0.1612 0.03247 95068 3
2456675.73789 -3.54 1.24 0.1627 0.03245 87646 3
2456675.73845 1.29 1.14 0.1585 0.03249 106124 3
2456675.73898 1.72 1.34 0.1592 0.03243 80631 2
2456675.73953 -0.23 1.38 0.161 0.03247 85933 3
2456675.74007 0.17 1.22 0.1682 0.03256 94675 4
2456675.74061 1.77 1.17 0.1602 0.03243 100171 3
