Time RV eRV C3AP2-1 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8
54046.516119 391.364973247223 18.9885723734524 0.435774605421538 -256.68780491824 -2657.36196844712 240.3889921013 -131.98515610154 -413.58183847799 -352.980834676205 -3372.22229817897 -117.04612421312 442.62282173285 -53.9424537033899 -635.33508121892 -1.09808442929 -1102.7838139466 -2237.53748015076 2227.9417778967
54986.880483 -313.672883099304 16.8289880853681 1.0002671261141 158.463003962743 1460.89379392902 -224.167913837666 243.584687385314 9.67926173580497 773.245194189696 1186.03610602208 23.224033705974 -252.203018572905 340.881389647323 -224.166867829016 261.532364365588 455.256056031403 1372.18282114423 -605.360925286811
54986.887729 -331.30098925258 16.4247709703365 1.0002671261141 159.04904887929 1472.29296172385 -315.997136669702 275.932046458775 20.896198937011 762.641693384941 1156.00271197525 -56.1744424014399 -285.955142038516 373.676930324749 -225.441730127685 286.614234827608 432.485758828888 1340.62773945303 -539.367213438953
54986.894894 -332.451743596959 17.7136064304805 1.0002671261141 108.811658992607 1514.31254851429 -252.638245932089 238.249470143995 -52.608860266358 896.883568357864 1085.84890796101 47.022339737747 -261.754841097332 359.039848486146 -280.084006297255 172.667352149163 688.781575810399 1199.43472208428 -535.422195362727
54986.902152 -208.287775446425 21.7629907119353 1.0002671261141 225.160873385412 1856.09399347645 -179.187239958846 252.116609515053 77.0280427885911 1212.54972175005 930.07833465769 248.312860525229 -372.290867920708 415.670934144537 -317.47474188685 405.615128356356 733.664912856189 1324.99555562649 -504.96345963171
54986.909896 -298.085430268445 19.3411924324938 1.0002671261141 101.977979012996 1500.45565649786 -236.52051581615 110.272968193082 156.192817325157 590.604516451151 1370.64934971379 65.362338849703 -217.172233045324 93.817050322262 32.657185768193 234.23165606032 370.077482435278 1398.28003997578 -637.752595299404
54986.918183 -406.21834911926 15.461517382794 1.0002671261141 136.743883244995 1455.08587353119 -176.75200812601 143.318285960377 124.111307736506 764.261773653458 1035.24507373622 140.437278190127 -205.549133847564 160.636513789478 -36.874274861463 215.952741577841 520.90215620054 1150.59273221226 -467.182379671811
54986.924202 -414.045589136732 15.9939895766684 1.0002671261141 210.608202889313 1648.63121974686 -111.306882147353 207.837672135505 91.467905239635 808.154484094297 1309.88872211572 129.484467085719 -170.619369525664 173.87698170602 37.335018631832 202.116958382345 614.651422426097 1255.93128665739 -472.21609619972
54986.93124 -455.877930200589 19.8487453882596 1.0002671261141 181.03850894846 1828.00311978213 -124.162622730036 222.900324276932 14.9342226110771 995.601319715204 1329.46941199264 -62.348441635485 -99.885098839998 195.201803027513 33.255551340251 93.542473445871 843.582420376019 1238.10066747275 -386.131210363291
54987.92231 -332.957030309558 10.3312610738839 1.0002671261141 46.5364577061921 1462.90328669731 -81.17978234675 123.294831523669 -85.260102143336 899.174533406819 1022.29521020439 -78.38700462397 -33.353589150977 88.97539032691 -55.207034579088 101.908794907772 438.041214304425 1381.53339842216 -445.312840156622
