Time  RV eRV
2453520.51120      2.69   1.51
2453520.52055      1.18   1.42
2453520.53016      3.95   1.72
2453748.85372      0.26   1.12
2453748.86379      1.02   1.15
2453748.87295      3.23   1.17
2453783.70404      1.59   1.26
2453783.71370      2.78   1.17
2453783.72364      1.22   1.04
2453813.67416     -1.60   1.11
2453813.68426     -1.21   1.13
2453813.69393     -1.14   1.08
2453823.59914      3.25   1.31
2453823.60887      1.56   1.11
2453823.61887     -0.36   1.10
2454170.85026     -0.92   1.10
2454170.86006      0.08   1.06
2454170.86947      0.51   1.09
2454188.87566     -3.20   1.06
2454188.88516     -1.00   1.12
2454188.89467     -3.10   1.22
2454189.70382     -4.45   1.19
2454189.71351     -0.61   1.22
2454189.72302     -2.06   1.22
