Time RV eRV 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8
54091.730074 -75.9460970471734 3.56684862369197 98.9955069267547 -31.841479483104 68.089642600011 94.9453202985906 17.1577377581802 -36.7298444773729 -2.2177625145146 72.705889016744 15.54772596344 98.3081727149888 -0.1686589198316 16.9551624297619 -50.8327436761699 13.7512931962168 0.493996652466905
54092.683581 -52.6971711886616 2.78583747008421 88.3745805389646 -33.221025877442 -84.9731983691405 112.757078933271 2.8615603083572 -26.2645285408855 4.4874776862995 -169.505696147861 103.404864740217 68.3705070940087 -7.2044838391136 18.8769305463592 -17.486524954193 -19.5406000260111 1.3714885518403
54506.567562 12.5142461120999 2.65858927588549 2.53319424470082 18.513552395224 -11.2895639895105 -21.522555465262 18.9356036260191 8.9948976991209 -4.6211209696972 35.519427890282 -21.3455685637667 -25.7302515590937 10.3616938604345 16.7468897905621 2.1810972763171 1.9203388745223 -2.9516917397195
54507.562746 -9.53628779762944 5.80495789512649 -44.0800383732845 9.7929163702778 -38.6713539985104 12.5277836741772 -29.3664175821318 24.9500317439722 -19.7807955090915 60.4365650505048 -108.078017411023 86.8773169908162 -74.9503088924065 -11.2027079146873 21.4892087194822 18.7242485398154 -27.4378617679774
54514.578531 -2.28517212958496 3.31646240865311 99.2994670980062 2.90025586815902 68.731665291721 112.974979678921 -10.5490970352355 4.05770825932131 -5.22343562066552 127.849561526275 -17.0083628803596 131.014502547434 -18.4158253721717 -11.0207723136595 10.213385037524 -5.00301134476522 -1.3627317365908
54515.606841 -10.6133108225629 2.70735364294272 -114.740756383466 -1.9663314688919 -23.440390893407 -143.984880230176 -3.6142159262983 10.6187554025433 -1.34863695142244 58.305797083669 -227.047732125699 -48.7485646661254 -4.3128556025877 -1.0722094080761 23.1786297609855 -24.7171908365645 8.4428996247484
54528.560106 14.4970454975286 3.5785491703393 89.9997564934545 4.7645797761814 123.161074196662 68.5946352292283 11.5062415897053 -1.1426251174517 2.9938935156841 23.063539872372 128.730551805806 42.6615627794672 -6.84925155331494 20.0887056068363 1.8216426755656 -0.971714933504899 -12.0617265940902
54539.529045 30.8713239249269 3.10619099613895 12.1648112846257 15.20370917668 -14.9219070698301 45.5892553040728 -9.0161396678854 -12.1358137747074 15.3699863230105 198.54826226863 -87.9152857326069 47.7440048973084 -6.9520526994341 -4.1755371574422 -21.5506660330753 29.016017031343 -3.7629712006909
54822.718682 63.7158256572662 2.82462787600866 66.5226861099265 6.5699017244063 47.6977004388722 25.1748778732427 7.7436304480539 12.5229435852619 -13.2746951335834 133.860108325546 35.1541039304399 -14.7280511632674 30.9149578230156 -11.9833588963425 16.6835351339983 -19.8604061609508 11.372248103337
54879.501869 -16.092557477586 3.0252716931159 66.9914161854884 19.9841539177999 228.987043160733 35.633526671006 -16.372098480617 12.2529150222333 25.8740331022394 124.921659943112 199.058439252189 -35.9258862123292 1.6248070944205 2.8558458235112 5.9572651337912 5.8151125344533 23.924357048488
54903.431363 46.2764663904947 2.98362715433877 -90.4160922448127 4.4698556850386 31.943638952616 -79.5294115105278 -19.9801787894499 6.48399390467 -1.6138373501931 -54.4935006259688 139.373341790699 -87.964290694562 -62.1385247996921 5.0004713991866 -6.543585106645 33.8079165790058 -21.7261715573893
