Time RV eRV BIS FWHM S-index 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8
53156.770325 14.2134678450132 23.0353606570912 1340.546613 7.438049029 0.739508308618441 -1123.82404452477 -280.824605312786 -1534.46534399695 -410.153890280709 49.1073303596789 -728.644056507758 752.692335232881 -2928.86192122677 -653.934938462893 478.876762613595 -859.072562126956 574.163077112944 -1329.88208451066 1366.37331777479 -107.921025689316
53156.847354 -129.940786009703 22.9409758303563 1620.986017 7.667793633 0.738082087178096 -998.686920056821 -501.097316562524 -1051.9607410703 -807.686631964708 667.295199136657 -1319.40244767853 833.859926959787 -2914.57048358668 -402.562717249567 -84.978831196789 -231.454365821911 930.690366827682 -1802.42662032377 1060.5918950016 -70.938252195965
53156.914649 -30.7550120687333 23.3810902718384 -9757.63919 7.611816362 0.740540091957054 -1421.34580709002 -47.435471149318 -768.688957692777 -1376.25441652982 684.734816063713 -645.587020743946 425.169902670941 -2832.2527459354 -329.566856480212 -557.454821961735 -192.672889327607 779.161191867357 -772.207012216826 365.700970307834 -11.026366590284
53874.790727 -65.2730235087933 23.2392171643618 14393.21009 46.72826708 0.738105229546782 -1121.15191703765 -688.586267563012 -1479.41852789412 -663.269305799111 534.115708867596 -1228.98330187668 485.130134900884 -3032.16329502439 -938.125339014094 272.152054176818 -331.862569314799 833.905740376696 -1801.23153398866 69.654401387 1791.31248251929
53881.89612 -88.7354759056805 23.4577148952576 -8388.62542 23.9123596 0.738036570041346 -1134.33555512928 -323.260660142957 -1658.85423744498 -710.183852696578 790.82044917507 -570.605904663368 -327.060076445198 -2733.57272715902 -1370.14250215628 110.21389842905 167.547982388876 918.131301721903 -1513.52795769397 575.626248485449 280.994495717123
53881.898516 -71.1672641656538 23.3864831555077 -10276.2691 12.87954701 0.738068935630913 -1123.92507716919 -738.406846183235 -1369.43780315301 -975.045201207029 1077.94294765378 -1268.20379457626 -74.214821846077 -2876.86745416017 -699.786637195744 -303.17007870255 41.684365569951 1251.39774748867 -1971.61456592593 60.8757644855799 913.48386295691
53989.549529 166.325990011143 23.009481755294 9641.710696 24.28864494 0.738093441193032 -935.723928108824 71.1058169305444 -800.738664638667 -795.877801409656 512.008089852564 -562.084648197457 683.267400154593 -2271.72517170174 -408.361364060315 -94.6650476056464 -269.600398585901 679.699567241033 -888.102368007332 429.241611487532 850.696287061703
54056.537853 24.4190735662816 22.9055925425302 4610.267029 60.92357367 0.735525824032908 -1504.09200035674 73.073755593095 -1470.16221664212 -1069.14332836998 561.934596489711 141.117971763883 -686.018856829645 -2341.71328596068 -680.804009153206 -532.565355616892 -195.057205285025 726.080238684197 -373.708405986693 -189.442727148417 504.290327771831
54057.558551 103.276066878984 23.3214219476134 37097.30799 59.14005273 0.734514192710115 -1347.96563225052 471.285682071358 -941.386307194889 -1384.04293617487 1020.84648836198 102.257355570719 -317.997314823205 -1786.01483903168 -779.066249646125 -766.818612589027 228.801959388104 813.888768574051 -460.742447813209 431.159270910965 -69.795512571601
54057.56259 192.626365054432 23.3663308632426 9346.923055 110.7360067 0.735001745008875 -1471.49440497501 247.379215620485 -1150.70526216378 -1028.2005332767 221.116734229793 66.2991710939694 125.195298405294 -2134.95224389331 -1050.67469455278 -393.405356491591 122.456130636255 325.903635134948 -522.704038031735 219.940584495531 1068.80375621314
