bjd rv erv ccf.fwhm ccf.ctr ccf.bis
2457946.3986 5.001621 1.719442 5.94867 26.44947 -0.02998
2457947.43226 5.562177 1.721568 5.94193 26.41146 -0.031
2457949.53952 1.927647 1.492249 5.93435 26.41171 -0.03409
2457950.54779 -1.554011 1.54342 5.95401 26.53929 -0.04258
2457951.43111 -0.878898 1.451844 5.94678 26.42716 -0.04055
2457954.35217 3.921702 1.873466 5.92484 26.42736 -0.03158
2457960.37305 9.045776 1.712064 5.9313 26.4636 -0.04382
2457961.3682 3.628137 1.314076 5.91674 26.48892 -0.0328
2457962.42544 2.090146 1.427568 5.93475 26.66575 -0.03411
2457963.37345 6.41872 1.37294 5.91911 26.54671 -0.03155
2457965.35216 6.607672 1.561171 5.93552 26.4417 -0.03281
2457968.39529 9.290514 1.519138 5.95486 26.42254 -0.03738
2457974.39304 11.351717 1.473645 5.93043 26.44239 -0.04851
2457975.40192 1.379551 2.790786 5.91649 26.42036 -0.04312
2457980.37372 -3.83009 1.683409 5.92778 26.47689 -0.05648
2457981.38799 -1.698597 1.760861 5.93776 26.50691 -0.03472
2457982.51265 3.38704 1.970614 5.88948 26.18909 -0.04033
2457987.48899 7.530766 1.789171 5.9184 26.26934 -0.03397
2457989.33075 8.037209 2.542396 5.94904 26.34544 -0.03679
2457999.46431 1.829075 2.685596 5.88981 26.04759 -0.03832
