Time RV eRV Halpha NaD1 NaD2 BIS FWHM S-index 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8
56289.547473 -4.17441566601517 7.27457862698315 1.00509481644453 0.460216842262839 0.565153525195963 664.242506 5.8493306 1.18248475929236 -65.3663801833251 15.9789498004658 -453.577820089552 161.324497868606 40.128136619884 -25.2720754566899 27.8286723713023 -280.609755008387 -131.809256449682 63.6110671123907 80.1159805827084 15.8960011582553 -52.0710819680752 30.0694529759164 3.5039994889571
56290.640218 1030.32469494331 15.1493068825115 0.596675352715081 1.25990404360291 1.11650363105933 829.910812 8.744226257 0.243671375345621 -1510.52570339829 287.050416095462 5028.87812570681 -4817.47480740249 95.452075485794 -533.870150218309 362.84048493336 3403.60840639073 65.3044526642398 -2881.22790631605 -134.390926590582 -254.274677240407 -809.376765261994 1210.21143756384 219.66867368908
56291.549821 92.6556992092433 6.45343711745803 1.00222354619364 0.466942332131447 0.556400651417442 154.177174 5.343519721 0.848231174395949 -673.866768555267 19.3510543263528 1192.2889891945 -1435.14740914735 24.6038227481117 -15.0748635063053 16.791823048164 2125.8918669026 -2065.94836361398 -212.762417401504 29.1529066988577 13.1219251887947 -52.5108953664827 46.5793603645289 -2.93723149407158
56291.713554 75.0162111425355 6.27081952181147 1.00521481833618 0.427184104651568 0.535940487903744 156.17077 5.269256862 1.01852179557019 -488.50377793164 15.6602456852273 1156.54244330841 -1243.90746815233 17.7126570091881 -11.0399328732859 13.9228112564087 1575.9437031587 -1514.04180595656 -141.37967137446 4.8456105288877 19.6702538677011 -36.5705989847103 26.9442753932382 -1.8080906353335
56292.551841 87.7480908669231 6.37043836489918 1.01194274640848 0.436122495327539 0.553763557865639 149.957959 5.291318599 0.906283897724297 -607.016430376401 15.4905871497748 1182.17712190793 -1362.94842696643 13.7779114552365 -4.55092959456046 6.65199401525198 2007.17094103941 -2042.71094516672 -82.2082661956315 5.759530685525 18.6942036171795 -32.9455090582895 29.8921936324202 -11.5287034074158
56292.664346 56.0035507502959 6.981701404967 1.00421333031255 0.680751625378038 0.725104151186076 495.118233 5.676782617 1.0221892993122 -740.977318601492 23.9180298566909 1837.05746398377 -1872.78933038911 -15.6281780816893 -7.0223700630915 28.8542831998699 2616.90440478004 -2104.24975074617 -490.274608877589 -42.1110926447752 24.55586412165 -58.1223028064344 51.7796371642565 0.80286162106746
56293.54518 70.355192600408 6.72442425028951 1.00242164729949 0.471442333146784 0.572202425343071 92.790213 5.348731768 0.726186491586894 -703.396920225084 10.1713441314132 1422.64998389569 -1570.39252435112 11.4338639284242 -25.1028947589811 28.7122723298842 2277.82703249361 -2192.04430791515 -256.815296301642 16.4362095201405 12.2140778060743 -54.3137266495662 34.5938615966038 6.8628806400667
56293.630635 53.8800754561269 6.23362852547707 1.01109936904863 0.426252090707692 0.534902177545243 126.223282 5.276903667 0.989265928623716 -411.347699201079 20.3037140143573 1136.47714945938 -1158.18262240532 20.3056449677243 -12.0435204989485 24.6496608586848 1601.88769121848 -1545.83886523667 -73.1178503651723 20.9660661977037 25.3375518039946 -41.1100810502161 27.7570018424518 2.9493215766608
56346.501684 70.6778456430192 5.98666477710109 0.562432117801987 0.447020624346796 0.617223520615529 329.290069 10.55284191 0.215148393286822 16.6855199430125 33.825254062615 331.673152564943 -137.746129767392 -91.0291882442826 198.256268500796 -12.88365427949 464.361146183395 -108.601245554195 -56.4736287470664 -76.2954253977729 -8.51148349296354 130.973122551242 17.571127284497 72.277392076095
56347.393255 130.2002537597 6.00211427964011 0.568571374945018 0.44986620106155 0.622846154162632 184.262964 9.878194847 0.290880739677056 -278.359355420634 78.7629436100642 -189.475018498428 -143.803812287401 -111.31194619015 254.311337448548 -6.93671292755698 -234.088151139305 -140.866610603066 -63.974468520743 -100.334066341769 -23.9194116956546 158.501003636646 94.337973604682 -13.103005444392
56347.492546 -26.0154047328949 7.16081150237437 1.07550505597828 0.515111807822159 0.616624043790825 44.307586 5.128472982 0.979228904501881 90.0681813678089 16.0978664248394 -489.573172767377 348.891614174545 30.9573206355301 -14.7963644063325 15.8337700552969 -591.754475752269 277.705510851509 52.767178854272 88.1544501333398 11.4063356991812 -51.7093614002507 49.7294376930848 -16.0911811639336
56347.555924 -62.7689211284325 7.27789738366763 1.0480775268742 0.556593466580234 0.671851683203745 34.704485 4.976126897 0.702137047890017 448.124040313371 20.6844511866027 -133.808916245318 516.415213413898 51.7550422723549 -25.4337020548855 19.3659592239668 -106.140455945575 153.945540150522 338.084821943633 89.9409529862092 28.891348423255 -58.7195606123776 35.4958987755624 -3.7474188853071
56348.412426 -66.7833624634511 7.06675349102493 1.03170034393193 0.505661610882627 0.613550751220987 90.269107 5.064564819 0.988853212365047 436.494262771935 15.2495331166184 -385.402063163601 664.287503605505 34.130417342568 -11.7392208524077 8.925900474492 -603.09174217928 548.028758082401 297.452855690053 49.5379260635154 20.7014966935467 -47.9963725611437 53.7382234146892 -24.2750910440185
56348.531438 -74.513354711049 6.5628029609806 1.0285980960406 0.463542772371696 0.576476942730917 72.551726 5.134442471 1.13361318037689 455.732602122852 9.6508979885815 -719.531473750001 882.820912779878 30.1042028732912 -32.9950128668507 31.8441250577287 -1162.82418956608 693.40035546048 445.069220988086 51.3626834542493 22.6200129750615 -50.764041423111 14.2037503401755 14.5012498492037
56348.562016 -68.9711024957643 6.59063208155751 1.02626393864034 0.476034384022076 0.586608705654801 142.360848 5.129667737 0.962294032895485 384.443231169722 10.1850388232966 -417.221305101649 630.959263725525 28.3370013616041 -26.5226015454613 21.4709909526643 -966.106701789979 550.593173204389 365.556504548524 60.5534348610399 21.9181054869697 -46.5893367024632 12.6976313551538 11.0913470071987
56349.396203 -55.4213135274565 7.5986462384122 1.02511262795796 0.583992814371454 0.68503027854595 87.247712 5.065487847 0.750624912113704 352.296476568883 19.5995015848908 -713.62644452615 791.533050460809 43.403703456804 -25.115412262395 26.9786544457422 -1189.31311946507 654.893999980316 352.962950776372 138.707786600507 -2.80953629586198 -41.0706680610539 17.872718876626 11.504527409827
56349.485691 -98.7325790348653 8.80267176330887 0.995387538456284 1.05406661857851 1.09421839826784 122.925586 4.141724575 0.0527299196151466 616.131970884577 28.0608752411715 -866.632678079909 1163.08682758704 43.3542188549044 -12.56662511332 39.4864589344569 -1198.51528717905 881.614469475522 342.374311523414 238.160670450971 -17.9760580026068 -26.6350618548837 -16.95385079343 53.4715786057548
56679.541144 -2.55102536721797 6.53946572423832 1.02406196690714 0.385393569146242 0.530399031490711 75.370754 5.252661718 0.864492021728405 -27.9958685149392 14.7782430246286 -138.230391992006 21.5646315837221 37.4129667474511 -22.7761198553917 20.1309559937614 168.093368400618 -317.304006964324 56.6652709662293 43.4404013316693 27.7913137097308 -49.6149998619693 20.784536996836 1.55344956122752
