Time RV eRV 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8 c3AP2-1
57590.472493 2837.08138336631 15.8243439227954 -291.7453688207 -6542.42199919477 -390.59947141232 333.41528757197 -738.53229225904 -6656.03909147649 884.301506937801 -906.379654817581 158.839733346141 -178.80499011972 691.480773120579 -982.9951587684 -5174.70708737574 -1689.32017987574 1710.37780518667 0
57590.476439 3013.29965467167 15.639048960362 -446.0298284261 -5972.87285944425 -459.64959768233 291.795827035459 -875.64197698019 -5873.3671481027 525.824799577784 -883.595885236359 38.2525804513098 -138.8354338123 623.90214848076 -1149.85428065172 -4023.86722284815 -2178.15408539143 1414.20636613372 0
57590.480061 2880.9194616599 15.3367506083626 -377.083826476141 -6208.55896953989 -227.86511676502 21.8989134043295 -487.03648648753 -6344.15423780243 689.374435793714 -730.52176877414 191.78976914013 -568.02927035646 1031.06766931248 -1012.97392530467 -4772.76134667291 -1963.8562765214 1883.57510241927 0
57590.484066 2962.9587905559 16.1753832492686 -243.482131100011 -6030.48820029052 -242.58454795802 192.50241129986 -540.974815576859 -6066.19119005699 536.222334025751 -845.510046692731 192.18372511493 -173.15926209334 579.92823195044 -797.13273990129 -4513.79522683345 -1955.64280366981 1716.91348233746 0
57590.487931 2971.28471981297 15.037855469625 -507.662989568899 -6017.28973666507 -228.45624468287 74.8392498128196 -784.370822293809 -5966.64108562246 567.558645288197 -740.17299612182 206.51449573579 -408.937464361309 539.620269039609 -888.61343490186 -4479.05575393545 -1830.97446024879 1347.12930300117 0
57595.477585 4338.52732694859 24.502015530742 -123.1193258269 -12122.4859127026 -754.321084408299 687.1110170101 -893.776468100201 -12226.7660624772 1027.18504673938 -844.8741195725 -171.152177039901 360.181910875001 550.619443978001 -1262.4792803978 -8737.84113675106 -3761.58301683948 2191.34590520833 0
57595.481277 4365.47859502552 24.4761667750175 -198.358335053801 -12369.187214026 -609.1777913516 575.8602592968 -915.321771667499 -12239.7552486985 526.345855608216 -1198.5538567985 335.881843928499 159.629622952902 567.578399156298 -1414.972313068 -7270.61448979633 -5608.3049245338 2549.47012454032 0
57601.463224 -504.010658408346 17.1287844511485 250.36961100146 1523.05506677435 -586.47519083594 502.37288661249 -8.47297678383006 1431.28750386251 203.109700728946 -968.4913825373 19.0750708146902 -24.0820492431703 778.17928937335 -78.0208604076799 234.63889582446 1063.43383267025 604.561134524572 0
57601.46702 -455.58783777002 17.0947839726918 -43.39331634514 1952.79101135116 -330.14637934231 424.0406428343 -531.39513241842 2430.78506474481 -600.877572442858 -578.10616306094 -114.90670809085 -48.5733326370998 928.17948759124 -972.99202841813 1336.24545758277 1184.31218940073 -580.783080610378 0
57601.470815 -355.231497549199 17.10385950923 340.69471083425 1972.79487288835 -251.4762050093 425.98223886667 30.1786301759398 2125.55169250323 -359.087827023183 -578.16539800657 151.44455598796 -55.4898422204701 700.70216437302 -97.6034932178 773.114588109164 1077.99033423995 370.347114358388 0
57601.474646 -439.012243889558 18.1407114879146 251.9709645726 2119.22673607902 -218.18298822719 573.36943486948 -374.22196080044 2450.51736792735 -406.609119211187 -668.86975583954 205.50673380389 143.82504147821 482.06906473668 -396.17814029283 427.05854965193 2040.48735497956 -249.316675384926 0
57601.478407 -522.602904764593 19.8527474580739 415.37681430562 1872.92144294758 -523.0747973483 519.56883591257 150.93995663351 2062.27346471674 -550.960813040896 -975.27309013682 74.8386639056098 17.8064101784403 1049.82820468762 -339.92322262351 -377.1757737398 2587.78768025997 -819.086023482967 0
57601.482238 -137.853570406968 19.2298670483713 203.30616342173 2500.6925153292 -620.33518734527 578.42320414392 -224.02815733914 2544.08679727428 90.7351804377629 -1191.43219085558 224.18281837694 160.68141791108 550.07231559108 -392.05897713152 815.68006065661 1848.40940592227 205.428944369512 0
57601.486381 -322.796642397744 17.3927491111264 344.71888306214 2116.17684041134 -513.34968039194 453.68351126131 152.73674862042 2048.32034464871 23.501376492362 -1018.4880712987 51.5560007261502 78.7868342464799 840.33442643291 -237.39207871467 692.26366207106 1439.57775519147 126.714078520812 0
57601.489795 -444.971335800937 17.3155847314381 440.08795208467 1885.89594671504 -264.39316860667 623.89831716624 -123.99751719494 2180.95820177725 -513.227826517478 -925.60134045415 237.79576953103 139.19267636024 711.13025670214 -248.18959864233 1243.93212653157 737.493095612033 -230.363362019883 0
57601.493591 -306.845405627352 18.1810693576257 274.85127003923 2474.94999617771 -224.31518653793 494.64906770536 -215.41008592104 2668.54187220643 -255.399504745797 -855.40929838611 299.06655280596 -31.49110889657 754.34791427159 -424.08062677786 1266.89690733687 1359.97560805007 4.34717857014198 0
57601.497422 -290.277825164566 21.5294960677821 217.54815010872 2691.22241539017 -721.53108734948 759.70161736132 -460.4512406435 3004.83208259748 -306.525455607225 -1181.59355116031 -114.72716892064 472.26304493156 704.30810460873 -915.93323817597 572.43203097898 2669.07494427495 -164.378871609564 0
57641.478498 -1904.60127541463 17.5775213440679 380.00043156787 4122.46414153237 -479.917887481641 300.22087121064 447.08328886488 3899.57948106941 113.042683390152 -1310.0267760298 335.012625564 -236.66078955298 993.04363085967 117.83396713873 2727.1191217572 1100.07435412119 289.130908361418 0
57641.481264 -1920.84531657933 17.681384219012 149.82768850266 4362.66602531662 -490.1663055011 505.8437535136 -258.7931435121 4277.96369839881 373.586666964218 -1098.95462097272 125.482130123611 69.3163727125802 546.25750773225 -250.02517640297 3397.99055020618 1028.46580095624 127.455897595712 0
57641.483891 -1857.60202774575 17.6631179573776 347.7181127789 4266.77900346996 -252.9810940926 301.692553587141 232.1268106241 3796.97145084717 806.981878803768 -889.23753003354 168.66035173493 -46.01349679547 695.91141917242 31.3180090717697 2056.77646377746 2069.26756548455 576.392866365929 0
57641.48668 -2217.73811652233 18.0065617844055 396.59716294087 3886.96515664049 -399.0373172879 470.35614200106 134.38767175767 3865.30255769531 -60.48259070355 -1081.93193037712 221.987951525761 44.6423762126797 693.5911678586 -1.25111767388989 2624.38668447733 1184.83018382979 59.072436240348 0
57641.48933 -2121.16270639705 17.2927969857052 138.542371320011 4296.40732251575 -240.75380806489 150.22744334308 142.6886544769 4025.27719373685 468.993645379053 -751.528010832099 119.68698023575 -212.069197462009 646.123454957979 25.7534734543706 3073.88447496485 1097.77311756365 224.7530914603 0
57641.491888 -1862.9337988037 17.5551872484572 111.680020308319 4590.18481741895 -519.6272537606 349.80414351123 -44.9293895027595 4544.68121856003 137.411019984244 -1037.11640325409 58.6742937057597 -57.1044684456101 813.21142651171 -399.615042765419 3271.87821668781 1509.98435783319 -149.769238665993 0
57641.494584 -1795.17649920252 17.6482614319881 420.42089194693 4563.72081223685 -541.56059353875 547.057853383641 144.47858404327 4586.46953880611 -173.762436006235 -1089.03712409812 146.71353003878 165.496746445921 449.8528655406 267.2001756047 2331.05470653362 2334.77907758518 -383.145161605701 0
57641.497304 -2208.01802665448 18.1241687259128 192.89226183389 4280.3408826087 -358.17105705051 420.98049145033 -134.67187577993 3953.91399918545 796.804888208659 -952.136917267039 165.271299026819 1.75338226198073 634.83571443796 -257.89288350665 2356.82530035463 2054.69050884308 189.828348311003 0
57641.499931 -2192.62705230421 18.109365731753 103.450251214091 4397.30306299354 -641.12623142907 358.45559030384 -11.0993165026903 4377.80236200079 50.0862658452639 -999.55737987879 53.1017056524997 -113.31677456818 770.421356888241 -265.86957985985 2618.30656557526 2129.18213307983 -628.142445236461 0
